num_maquina;num_jobs;modelo;number_of_constraints;number_of_variables;best_bound;funcao_objetivo;number_of_var_values;has_hit_limit;mip_relative_gap;nb_iterations;nb_linear_nonzeros;status;time;fl_inteiro
15;20;t_pre_carnaval001M015J020_ZintFalse_Manne;6000;3151;;1012,0;1913;False;;1912;17700;optimal;0,038693904876708984;False
15;20;t_pre_carnaval001M015J020_ZintFalse_MinLA;18000;3151;;1031,463660862191;2142;False;;29;52800;optimal;0,2965579032897949;False
15;20;t_pre_carnaval002M015J020_ZintTrue_Manne;6000;3151;1143,5204158418007;1390,0000000000002;1691;True;0,17732344184041848;79643732;17700;time limit exceeded;3600,0184559822083;True
15;20;t_pre_carnaval002M015J020_ZintTrue_MinLA;18000;3151;1123,707016310799;1458,0;1562;True;0,22928188181699458;50632570;52800;time limit exceeded;3600,016149997711;True
15;20;t_pre_carnaval002M015J020_ZintFalse_Manne;6000;3151;;919,0;1906;False;;1905;17700;optimal;0,046514034271240234;False
15;20;t_pre_carnaval002M015J020_ZintFalse_MinLA;18000;3151;;1057,7602784273868;1872;False;;7284;52800;optimal;0,22965383529663086;False
15;20;t_pre_carnaval003M015J020_ZintTrue_Manne;6000;3151;1067,037678207744;1332,0;1727;True;0,19892066200618327;118316288;17700;time limit exceeded;3600,8195989131927;True
15;20;t_pre_carnaval003M015J020_ZintTrue_MinLA;18000;3151;1088,0653056956135;1391,9999998350027;1627;True;0,21834388949381717;22556565;52800;time limit exceeded;3601,4940280914307;True
15;20;t_pre_carnaval003M015J020_ZintFalse_Manne;6000;3151;;990,0;1976;False;;1975;17700;optimal;0,05938291549682617;False
15;20;t_pre_carnaval003M015J020_ZintFalse_MinLA;18000;3151;;1004,1357422213896;2033;False;;25;52800;optimal;0,27736806869506836;False
15;20;t_pre_carnaval004M015J020_ZintTrue_Manne;6000;3151;1076,9999999999998;1412,0000000000039;1579;True;0,23725212464587778;96162356;17700;time limit exceeded;3600,010393857956;True
15;20;t_pre_carnaval004M015J020_ZintTrue_MinLA;18000;3151;1180,2943888934162;1423,999999997;1607;True;0,17114158083151693;42761022;52800;time limit exceeded;3600,0128428936005;True
15;20;t_pre_carnaval004M015J020_ZintFalse_Manne;6000;3151;;880,0;1824;False;;1823;17700;optimal;0,03752422332763672;False
15;20;t_pre_carnaval004M015J020_ZintFalse_MinLA;18000;3151;;1053,1511547726266;1962;False;;7296;52800;optimal;0,23824095726013184;False
15;20;t_pre_carnaval005M015J020_ZintTrue_Manne;6000;3151;1078,6885477683597;1500,0000000000002;1803;True;0,28087430148774156;75383424;17700;time limit exceeded;3600,0112450122833;True
15;20;t_pre_carnaval005M015J020_ZintTrue_MinLA;18000;3151;1263,7769035532992;1486,0;1684;True;0,14954447943922328;47816204;52800;time limit exceeded;3600,0153760910034;True
15;20;t_pre_carnaval005M015J020_ZintFalse_Manne;6000;3151;;932,0;1938;False;;1937;17700;optimal;0,042539119720458984;False
15;20;t_pre_carnaval005M015J020_ZintFalse_MinLA;18000;3151;;1141,3457533407186;1880;False;;7870;52800;optimal;0,22461700439453125;False
15;20;t_pre_carnaval006M015J020_ZintTrue_Manne;6000;3151;1145,3576478622697;1465,9999999999995;1727;True;0,21871920336815012;71881073;17700;time limit exceeded;3600,012825012207;True
15;20;t_pre_carnaval006M015J020_ZintTrue_MinLA;18000;3151;1246,8702506254283;1509,0;1790;True;0,17371090084463509;43003348;52800;time limit exceeded;3600,0121030807495;True
